query_id,cold_us,cold_rows,cold_status,hot1_us,hot1_rows,hot1_status,hot2_us,hot2_rows,hot2_status,hot3_us,hot3_rows,hot3_status
q01,3318378,1,OK,1,1,OK,0,1,OK,1,1,OK
q02,441491,1,OK,2,1,OK,2,1,OK,2,1,OK
q03,468703,1,OK,3,1,OK,2,1,OK,2,1,OK
q04,7908434,1,OK,3,1,OK,2,1,OK,2,1,OK
q05,2921932,1,OK,2,1,OK,1,1,OK,1,1,OK
q06,466188,1,OK,2,1,OK,1,1,OK,1,1,OK
q07,452980,1,OK,2,1,OK,1,1,OK,1,1,OK
q08,140303,1,OK,2,1,OK,1,1,OK,1,1,OK
q09,5346125,1,OK,2,1,OK,2,1,OK,1,1,OK
q10,4577697,1,OK,1,1,OK,1,1,OK,1,1,OK
q11,2781587,10,OK,3,10,OK,2,10,OK,2,10,OK
q12,2503773,10,OK,4,10,OK,2,10,OK,2,10,OK
q13,2735315,10,OK,3,10,OK,2,10,OK,2,10,OK
q14,1746901,10,OK,3,10,OK,2,10,OK,2,10,OK
q15,6062420,10,OK,3,10,OK,2,10,OK,3,10,OK
q16,123198,10,OK,4,10,OK,3,10,OK,4,10,OK
q17,4268195,1000,OK,3,1000,OK,2,1000,OK,2,1000,OK
q18,3160354,1000,OK,2,1000,OK,2,1000,OK,2,1000,OK
q19,2876782,1,OK,4,1,OK,3,1,OK,3,1,OK
q20,521036,1,OK,3,1,OK,2,1,OK,2,1,OK
q21,2582460,1,OK,2,1,OK,3,1,OK,3,1,OK
q22,4538651,1,OK,4,1,OK,2,1,OK,4,1,OK
q23,3440304,1,OK,4,1,OK,4,1,OK,4,1,OK
q24,610240,1,OK,5,1,OK,4,1,OK,4,1,OK
q25,687048,30,OK,3,30,OK,4,30,OK,3,30,OK
q26,2676993,30,OK,6,30,OK,4,30,OK,4,30,OK
q27,29084035,100,OK,7,100,OK,6,100,OK,6,100,OK
q28,9993792,9999540,OK,7919,9999540,OK,7925,9999540,OK,7973,9999540,OK
q29,2480315,1,OK,5,1,OK,4,1,OK,4,1,OK
q30,455543,1,OK,6,1,OK,4,1,OK,4,1,OK
q31,890277,1,OK,5,1,OK,5,1,OK,4,1,OK
q32,2754449,1,OK,4,1,OK,4,1,OK,4,1,OK
q33,578087,1,OK,4,1,OK,5,1,OK,3,1,OK
q34,1473907,1,OK,6,1,OK,4,1,OK,5,1,OK
q35,2647765,1,OK,5,1,OK,4,1,OK,11,1,OK
q36,682933,1000,OK,3,1000,OK,3,1000,OK,2,1000,OK
q37,2329597,1000,OK,5,1000,OK,5,1000,OK,5,1000,OK
q38,974881,1,OK,3,1,OK,2,1,OK,2,1,OK
q39,4208844,1,OK,5,1,OK,4,1,OK,3,1,OK
q40,2497235,1,OK,4,1,OK,3,1,OK,3,1,OK
q41,459949,1,OK,3,1,OK,3,1,OK,3,1,OK
q42,469297,1,OK,3,1,OK,3,1,OK,3,1,OK
q43,1090201,1,OK,6,1,OK,4,1,OK,4,1,OK
