query_id,cold_us,cold_rows,cold_status,hot1_us,hot1_rows,hot1_status,hot2_us,hot2_rows,hot2_status,hot3_us,hot3_rows,hot3_status
q01,11410,0,OK,5,0,OK,5,0,OK,5,0,OK
q02,105606,100,OK,9,100,OK,7,100,OK,7,100,OK
q03,883353,0,OK,6,0,OK,4,0,OK,5,0,OK
q04,1538,0,OK,5,0,OK,4,0,OK,4,0,OK
q05,146779,0,OK,7,0,OK,5,0,OK,5,0,OK
q06,78862,1,OK,5,1,OK,4,1,OK,3,1,OK
q07,5240,0,OK,11,0,OK,9,0,OK,8,0,OK
q08,78334,0,OK,11,0,OK,10,0,OK,11,0,OK
q09,487487,59853,OK,35,59853,OK,36,59853,OK,32,59853,OK
q10,551785,0,OK,7,0,OK,6,0,OK,6,0,OK
q11,9480,156,OK,9,156,OK,7,156,OK,7,156,OK
q12,543156,0,OK,7,0,OK,6,0,OK,5,0,OK
q13,1251139,42,OK,9,42,OK,6,42,OK,6,42,OK
q14,934453,1,OK,5,1,OK,4,1,OK,4,1,OK
q15,4927,0,OK,6,0,OK,8,0,OK,7,0,OK
q16,185963,18314,OK,18,18314,OK,20,18314,OK,16,18314,OK
q17,353195,1,OK,8,1,OK,7,1,OK,7,1,OK
q18,1841492,0,OK,14,0,OK,13,0,OK,11,0,OK
q19,494238,1,OK,25,1,OK,18,1,OK,18,1,OK
q20,49082,0,OK,16,0,OK,13,0,OK,12,0,OK
q21,1642465,100,OK,11,100,OK,9,100,OK,8,100,OK
q22,121399,7,OK,8,7,OK,7,7,OK,6,7,OK
