query_id,sf,cold_ms,hot1_ms,hot2_ms,hot3_ms,median_ms,status
q01,10,38,3,3,2,3,OK
q02,10,84258,4,3,3,3,OK
q03,10,155,4,3,2,3,OK
q04,10,30,4,3,2,3,OK
q05,10,9202,4,4,3,4,OK
q06,10,2003,4,3,3,3,OK
q07,10,29,3,3,4,3,OK
q08,10,35,4,4,3,4,OK
q09,10,289,4,4,3,4,OK
q10,10,8834,4,4,3,4,OK
q11,10,269,4,2,2,2,OK
q12,10,102,3,5,3,3,OK
q13,10,147,4,3,2,3,OK
q14,10,15409,3,2,2,2,OK
q15,10,83,4,3,3,3,OK
q16,10,2333,19,17,19,19,OK
q17,10,11656,4,3,3,3,OK
q18,10,69442,35,4,4,4,FAIL
q19,10,3,3,21,9,9,FAIL
q20,10,3,4,3,2,3,FAIL
q21,10,3,3,3,3,3,FAIL
q22,10,3,3,2,3,3,FAIL
