query_id,database,sf,iteration,mode,latency_ms,status
q01,turbogp,1,0,cold,7,OK
q01,turbogp,1,1,hot,7,OK
q01,turbogp,1,2,hot,7,OK
q01,turbogp,1,3,hot,6,OK
q02,turbogp,1,0,cold,284,OK
q02,turbogp,1,1,hot,388,OK
q02,turbogp,1,2,hot,276,OK
q02,turbogp,1,3,hot,265,OK
q03,turbogp,1,0,cold,14,OK
q03,turbogp,1,1,hot,10,OK
q03,turbogp,1,2,hot,10,OK
q03,turbogp,1,3,hot,10,OK
q04,turbogp,1,0,cold,7,OK
q04,turbogp,1,1,hot,7,OK
q04,turbogp,1,2,hot,6,OK
q04,turbogp,1,3,hot,7,OK
q05,turbogp,1,0,cold,252,OK
q05,turbogp,1,1,hot,126,OK
q05,turbogp,1,2,hot,126,OK
q05,turbogp,1,3,hot,124,OK
q06,turbogp,1,0,cold,142,OK
q06,turbogp,1,1,hot,101,OK
q06,turbogp,1,2,hot,101,OK
q06,turbogp,1,3,hot,308,OK
q07,turbogp,1,0,cold,7,OK
q07,turbogp,1,1,hot,7,OK
q07,turbogp,1,2,hot,7,OK
q07,turbogp,1,3,hot,7,OK
q08,turbogp,1,0,cold,8,OK
q08,turbogp,1,1,hot,7,OK
q08,turbogp,1,2,hot,7,OK
q08,turbogp,1,3,hot,7,OK
q09,turbogp,1,0,cold,34,OK
q09,turbogp,1,1,hot,31,OK
q09,turbogp,1,2,hot,31,OK
q09,turbogp,1,3,hot,31,OK
q10,turbogp,1,0,cold,504,OK
q10,turbogp,1,1,hot,459,OK
q10,turbogp,1,2,hot,610,OK
q10,turbogp,1,3,hot,460,OK
q11,turbogp,1,0,cold,7,OK
q11,turbogp,1,1,hot,6,OK
q11,turbogp,1,2,hot,6,OK
q11,turbogp,1,3,hot,6,OK
q12,turbogp,1,0,cold,15,OK
q12,turbogp,1,1,hot,15,OK
q12,turbogp,1,2,hot,15,OK
q12,turbogp,1,3,hot,16,OK
q13,turbogp,1,0,cold,54,OK
q13,turbogp,1,1,hot,11,OK
q13,turbogp,1,2,hot,11,OK
q13,turbogp,1,3,hot,10,OK
q14,turbogp,1,0,cold,1358,OK
q14,turbogp,1,1,hot,1263,OK
q14,turbogp,1,2,hot,1373,OK
q14,turbogp,1,3,hot,1378,OK
q15,turbogp,1,0,cold,9,OK
q15,turbogp,1,1,hot,55,OK
q15,turbogp,1,2,hot,9,OK
q15,turbogp,1,3,hot,9,OK
q16,turbogp,1,0,cold,89,OK
q16,turbogp,1,1,hot,84,OK
q16,turbogp,1,2,hot,92,OK
q16,turbogp,1,3,hot,126,OK
q17,turbogp,1,0,cold,480,OK
q17,turbogp,1,1,hot,426,OK
q17,turbogp,1,2,hot,423,OK
q17,turbogp,1,3,hot,361,OK
q18,turbogp,1,0,cold,1434,OK
q18,turbogp,1,1,hot,1316,OK
q18,turbogp,1,2,hot,1357,OK
q18,turbogp,1,3,hot,1346,OK
q19,turbogp,1,0,cold,6,OK
q19,turbogp,1,1,hot,7,OK
q19,turbogp,1,2,hot,6,OK
q19,turbogp,1,3,hot,6,OK
q20,turbogp,1,0,cold,76,OK
q20,turbogp,1,1,hot,52,OK
q20,turbogp,1,2,hot,47,OK
q20,turbogp,1,3,hot,88,OK
q21,turbogp,1,0,cold,20,OK
q21,turbogp,1,1,hot,18,OK
q21,turbogp,1,2,hot,18,OK
q21,turbogp,1,3,hot,18,OK
q22,turbogp,1,0,cold,122,OK
q22,turbogp,1,1,hot,120,OK
q22,turbogp,1,2,hot,124,OK
q22,turbogp,1,3,hot,160,OK
q01,clickhouse,1,0,cold,348,OK
q01,clickhouse,1,1,hot,301,OK
q01,clickhouse,1,2,hot,299,OK
q01,clickhouse,1,3,hot,294,OK
q02,clickhouse,1,0,cold,1518,OK
q02,clickhouse,1,1,hot,1506,OK
q02,clickhouse,1,2,hot,1779,OK
q02,clickhouse,1,3,hot,1889,OK
q03,clickhouse,1,0,cold,595,OK
q03,clickhouse,1,1,hot,534,OK
q03,clickhouse,1,2,hot,489,OK
q03,clickhouse,1,3,hot,519,OK
q04,clickhouse,1,0,cold,223,OK
q04,clickhouse,1,1,hot,183,OK
q04,clickhouse,1,2,hot,181,OK
q04,clickhouse,1,3,hot,176,OK
