query,cold_ms,status,rows
q01,14.7,OK,2
q02,53.7,OK,2
q03,60.3,OK,2
q04,166.2,OK,2
q05,38.3,OK,2
q06,65.9,OK,2
q07,41.6,OK,2
q08,46.1,OK,2
q09,777.6,OK,2
q10,372.5,OK,2
q11,47.6,OK,11
q12,68.0,OK,11
q13,101.0,OK,11
q14,47.5,OK,11
q15,821.2,OK,11
q16,55.3,OK,11
q17,79.5,OK,1001
q18,74.2,OK,1001
q19,52.2,OK,2
q20,24.8,OK,2
q21,832.2,OK,2
q22,858.3,OK,2
q23,39.6,OK,2
q24,57.8,OK,2
q25,123.2,OK,31
q26,142.0,OK,31
q27,1035.8,OK,101
q28,12562.6,OK,9999541
q29,86.4,OK,2
q30,91.7,OK,2
q31,40.2,OK,2
q32,37.6,OK,2
q33,32.3,OK,2
q34,59.9,OK,2
q35,81.7,OK,2
q36,49.2,OK,1001
q37,47.2,OK,1001
q38,44.9,OK,2
q39,698.3,OK,2
q40,63.3,OK,2
q41,58.2,OK,2
q42,57.2,OK,2
q43,47.4,OK,2
