query,cold_ms,status,rows
q01,26.1,OK,1
q02,43.9,OK,1
q03,6.4,OK,1
q04,3.8,OK,1
q05,26.4,OK,1
q06,6.2,OK,1
q07,30.1,OK,1
q08,34.9,OK,1
q09,2.2,OK,1
q10,1.7,OK,1
q11,57.5,OK,10
q12,74.2,OK,10
q13,95.0,OK,10
q14,45.3,OK,10
q15,2.5,OK,10
q16,64.7,OK,10
q17,82.9,OK,1000
q18,88.9,OK,1000
q19,1.2,"ERR: 
(
    message     =>  syntax error, unexpected invalid token, expecting UNION_ or EXCEPT_ or MINUS_ or INTERSECT_ [line 1, column 41] (Session: 1873452909894828032)
    dsn         =>  localhost:8563",0
q20,11.3,OK,1
q21,75.5,OK,1
q22,74.7,OK,1
q23,7.8,OK,1
q24,7.2,OK,1
q25,189.7,OK,30
q26,3.4,OK,30
q27,2.5,OK,100
q28,4726.2,OK,9999540
q29,8.7,OK,1
q30,38.9,OK,1
q31,19.5,OK,1
q32,12.2,OK,1
q33,6.6,OK,1
q34,25.3,OK,1
q35,138.0,OK,1
q36,70.4,OK,1000
q37,59.3,OK,1000
q38,39.6,OK,1
q39,2.8,OK,1
q40,5.4,OK,1
q41,6.2,OK,1
q42,5.9,OK,1
q43,51.7,OK,1
