query_id,cold_us,cold_rows,cold_status,hot1_us,hot1_rows,hot1_status,hot2_us,hot2_rows,hot2_status,hot3_us,hot3_rows,hot3_status
q01,182898,1,OK,2,1,OK,1,1,OK,0,1,OK
q02,412138,1,OK,1,1,OK,1,1,OK,1,1,OK
q03,82005,1,OK,1,1,OK,1,1,OK,1,1,OK
q04,1046980,1,OK,2,1,OK,2,1,OK,1,1,OK
q05,6919,1,OK,2,1,OK,3,1,OK,2,1,OK
q06,35930,1,OK,1,1,OK,1,1,OK,0,1,OK
q07,6773,1,OK,2,1,OK,1,1,OK,2,1,OK
q08,12973,1,OK,2,1,OK,1,1,OK,1,1,OK
q09,19860,1,OK,1,1,OK,1,1,OK,0,1,OK
q10,16678,1,OK,1,1,OK,1,1,OK,0,1,OK
q11,634758,10,OK,3,10,OK,2,10,OK,2,10,OK
q12,875080,10,OK,3,10,OK,2,10,OK,2,10,OK
q13,666312,10,OK,2,10,OK,2,10,OK,1,10,OK
q14,457206,10,OK,2,10,OK,1,10,OK,1,10,OK
q15,637158,10,OK,5,10,OK,3,10,OK,2,10,OK
q16,358717,0,OK,6,0,OK,3,0,OK,2,0,OK
q17,919282,1000,OK,4,1000,OK,2,1000,OK,2,1000,OK
q18,720631,1000,OK,3,1000,OK,2,1000,OK,2,1000,OK
q19,98389,1,OK,14,1,OK,2,1,OK,1,1,OK
q20,143026,1,OK,2,1,OK,2,1,OK,1,1,OK
q21,935380,1,OK,3,1,OK,2,1,OK,1,1,OK
q22,249068,1,OK,2,1,OK,1,1,OK,1,1,OK
q23,37815,1,OK,2,1,OK,2,1,OK,1,1,OK
q24,35890,1,OK,2,1,OK,1,1,OK,1,1,OK
q25,377458,30,OK,5,30,OK,2,30,OK,2,30,OK
q26,692349,30,OK,4,30,OK,3,30,OK,2,30,OK
q27,2082956,100,OK,4,100,OK,4,100,OK,2,100,OK
q28,929753,9999540,OK,16777,9999540,OK,7951,9999540,OK,244842,9999540,OK
q29,39455,1,OK,3,1,OK,3,1,OK,2,1,OK
q30,40417,1,OK,2,1,OK,3,1,OK,2,1,OK
q31,19019,1,OK,2,1,OK,2,1,OK,2,1,OK
q32,18210,1,OK,3,1,OK,2,1,OK,2,1,OK
q33,200018,1,OK,4,1,OK,3,1,OK,2,1,OK
q34,184455,1,OK,3,1,OK,3,1,OK,3,1,OK
q35,163881,1,OK,3,1,OK,3,1,OK,3,1,OK
q36,667003,1000,OK,5,1000,OK,4,1000,OK,4,1000,OK
q37,618471,1000,OK,5,1000,OK,5,1000,OK,4,1000,OK
q38,608820,1,OK,4,1,OK,3,1,OK,3,1,OK
q39,20766,1,OK,4,1,OK,2,1,OK,3,1,OK
q40,38185,1,OK,3,1,OK,3,1,OK,2,1,OK
q41,35827,1,OK,3,1,OK,3,1,OK,2,1,OK
q42,35821,1,OK,3,1,OK,2,1,OK,2,1,OK
q43,25057,1,OK,7,1,OK,6,1,OK,6,1,OK
