query_id,cold_us,cold_rows,cold_status,hot1_us,hot1_rows,hot1_status,hot2_us,hot2_rows,hot2_status,hot3_us,hot3_rows,hot3_status
q01,13483,4,OK,7,4,OK,6,4,OK,6,4,OK
q02,128516,100,OK,9,100,OK,7,100,OK,7,100,OK
q03,609877,10,OK,6,10,OK,4,10,OK,3,10,OK
q04,522276,5,OK,6,5,OK,5,5,OK,4,5,OK
q05,1026085,5,OK,10,5,OK,9,5,OK,6,5,OK
q06,8179,1,OK,5,1,OK,4,1,OK,4,1,OK
q07,727510,4,OK,11,4,OK,9,4,OK,9,4,OK
q08,304376,2,OK,11,2,OK,10,2,OK,9,2,OK
q09,476779,175,OK,13,175,OK,11,175,OK,9,175,OK
q10,384169,20,OK,8,20,OK,7,20,OK,7,20,OK
q11,12549,156,OK,7,156,OK,6,156,OK,6,156,OK
q12,594407,2,OK,8,2,OK,6,2,OK,6,2,OK
q13,1121225,42,OK,9,42,OK,7,42,OK,7,42,OK
q14,494601,1,OK,5,1,OK,4,1,OK,4,1,OK
q15,19298,1,OK,6,1,OK,5,1,OK,4,1,OK
q16,69103,18314,OK,19,18314,OK,16,18314,OK,16,18314,OK
q17,355729,1,OK,9,1,OK,7,1,OK,6,1,OK
q18,2091561,57,OK,13,57,OK,12,57,OK,10,57,OK
q19,338395,1,OK,23,1,OK,25,1,OK,17,1,OK
q20,514450,186,OK,17,186,OK,15,186,OK,14,186,OK
q21,1779859,100,OK,10,100,OK,9,100,OK,9,100,OK
q22,197367,7,OK,9,7,OK,7,7,OK,7,7,OK
